date,supplier,product,value
2017-04,GC Rieber Compact South Africa (Pty) Ltd,LNS-MQ,691 122.52
2017-04,NUTRISET,RUSF / LNS-MQ,2 912 454.27
2017-04,NUTRISET,RUSF,29 944.96
2017-05,NUTRISET,LNS-MQ,4 866 515.64
2017-05,NUTRISET,RUSF / LNS-MQ,8 753 548.45
2017-05,EDESIA GLOBAL NUTRITION SOLUTIONS,LNS-MQ,425 873.70
2017-05,DIVA NUTRITIONAL PRODUCTS PTY LTD,RUSF,1 108 080.00
2017-05,DIVA NUTRITIONAL PRODUCTS PTY LTD,RUSF,2 332 800.00
2017-05,COMPACT INDIA PRIVATE LIMITED,RUSF,3 422 628.00
2017-05,NUTRISET,LNS-SQ,222 571.83
2017-05,NUTRISET,RUSF / LNS-MQ,4 671 855.01
2017-06,GC Rieber Compact South Africa (Pty) Ltd,RUSF,325 430.12
2017-06,EDESIA GLOBAL NUTRITION SOLUTIONS,RUSF / LNS-MQ,591 399.90
2017-06,COMPACT INDIA PRIVATE LIMITED,RUSF / LNS-MQ,1 669 536.00
2017-06,NUTRISET,LNS-SQ,69 473.28
2017-07,NUTRISET,RUSF / LNS-MQ,6 729 647.55
2017-07,EDESIA GLOBAL NUTRITION SOLUTIONS,RUSF,1 303 381.80
2017-07,NUTRIVITA FOODS PVT LTD,RUSF,150 800.00
2017-07,EDESIA GLOBAL NUTRITION SOLUTIONS,LNS-SQ,211 507.20
2017-08,DIVA NUTRITIONAL PRODUCTS PTY LTD,RUSF / LNS-MQ,463 680.07
2017-08,EDESIA GLOBAL NUTRITION SOLUTIONS,RUSF / LNS-MQ,1 186 849.80
2017-08,Ismail Industries Limited,LNS-MQ,96 306.00
2017-08,Mana Nutritive Aid Products. INC,RUSF,178 875.00
2017-08,NUTRISET,LNS-SQ,335 487.55
2017-09,EDESIA GLOBAL NUTRITION SOLUTIONS,LNS-SQ,66 096.00
2017-09,EDESIA GLOBAL NUTRITION SOLUTIONS,RUSF,2 471 931.00
2017-09,NUTRISET,RUSF / LNS-MQ,2 931 577.94
2017-09,NUTRISET,RUSF / LNS-MQ,5 522 274.73
2017-10,EDESIA GLOBAL NUTRITION SOLUTIONS,RUSF / LNS-MQ,863 440.20
2017-10,NUTRIVITA FOODS PVT LTD,RUSF,603 200.00
2017-10,NUTRISET,LNS-MQ,5 615 724.49
2017-10,EDESIA GLOBAL NUTRITION SOLUTIONS,LNS-LQ,33 048.00
2017-11,Ismail Industries Limited,LNS-MQ,380 872.80
2017-11,NUTRISET,LNS-MQ,1 354 413.31
2017-11,COMPACT INDIA PRIVATE LIMITED,RUSF,1 021 680.00
2017-11,NUTRISET,RUSF,4 605 876.63
2017-11,NUTRIVITA FOODS PVT LTD,RUSF,49 300.00
2017-12,COMPACT INDIA PRIVATE LIMITED,LNS-MQ,670 516.00
2017-12,NUTRISET,RUSF,1 038 570.88
2017-12,NUTRISET,RUSF,1 365 108.44
2017-12,COMPACT INDIA PRIVATE LIMITED,RUSF,153 252.00
2017-12,COMPACT INDIA PRIVATE LIMITED,LNS-MQ,1 097 712.00
2018-01,Insta Products (EPZ) Limited,RUSF,3 120 000.00
2018-01,Ismail Industries Limited,RUSF,213 000.00
2018-01,Insta Products (EPZ) Limited,RUSF,1 310 400.00
2018-01,NUTRISET,RUSF,309 211.36
2018-02,Ismail Industries Limited,LNS-MQ,1 105 380.00
2018-02,NUTRISET,LNS-MQ,497 952.00
